Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2001-02-14,2.8824658393859863,2.987011430060058,2.879976782732987,2.972076267313415,11460869
2001-02-15,2.9596314430236816,2.972077279077963,2.897401988475964,2.899891045976297,14052219
2001-02-16,2.939718008041382,2.967099010509431,2.8774882824381742,2.967099010509431,10644730
2001-02-19,2.9621214866638184,2.96709987713721,2.9098485238313887,2.9098485238313887,6639302
2001-02-20,2.8426403999328613,2.9621212116484377,2.8426403999328613,2.9521644316260813,10527220
2001-02-21,2.8301939964294434,2.894912505088081,2.797834879238272,2.8675315026368633,14571941
2001-02-22,2.7505412101745605,2.820238130387592,2.73062792194643,2.762987323878073,31078657
2001-02-23,2.753030776977539,2.7978360221503578,2.6758664013948894,2.7978360221503578,22339973
2001-02-26,2.782899856567383,2.807791528663718,2.740583959148351,2.7530297951965186,13648533
2001-02-27,2.7853894233703613,2.8152597644792765,2.740584460259705,2.8127704322486875,25983146
2001-02-28,2.7654762268066406,2.827705694725278,2.7505410557666754,2.7654762268066406,21587669
2001-03-01,2.7032463550567627,2.775432592884988,2.695778907790507,2.775432592884988,18364507
2001-03-02,2.7455623149871826,2.7629865400976854,2.6982680288695757,2.7256487581315767,9870113
